1.3	3.4	2.8	1.3	6.0	123	1.0707
-0.9	9.5	10.9	2.6	23.4	124	1.0532
-1.6	15.1	18.0	5.5	38.0	123	1.0702
-1.7	17.4	20.7	5.8	43.5	123	1.0701
2.9	-0.7	-2.5	-1.8	-5.2	120	1.1239
3.2	-3.3	-5.2	-2.7	-11.2	124	1.0522
4.1	-4.5	-8.0	-3.0	-16.7	120	1.1232
3.2	0.9	0.7	-0.4	1.5	120	1.1100
1.2	7.5	8.0	2.7	16.8	121	1.0912
0.3	10.0	12.3	2.1	26.2	123	1.0557
-0.2	13.2	16.1	4.0	33.6	121	1.0906
4.2	-2.8	-4.8	-2.7	-10.2	122	1.0724
4.5	-4.3	-6.8	-3.6	-14.4	122	1.0720
5.2	-5.5	-8.6	-3.3	-18.1	121	1.0893
1.7	-1.9	0.2	-0.4	0.4	119	1.1321
3.4	-7.0	-5.6	-1.1	-11.8	121	1.0947
4.5	-10.8	-10.3	-3.8	-22.0	123	1.0591
5.2	-15.0	-15.1	-5.1	-32.0	123	1.0587
0.3	2.7	6.0	1.6	12.8	122	1.0758
-0.5	6.1	9.0	3.4	19.4	124	1.0411
-1.6	10.2	16.1	5.9	34.7	125	1.0240
2.2	-1.2	0.7	-0.2	1.5	121	1.0945
3.1	-5.2	-4.2	-1.1	-9.1	124	1.0419
4.0	-8.6	-7.9	-3.1	-16.8	122	1.0760
4.7	-11.7	-11.2	-2.8	-23.9	123	1.0583
0.3	3.5	5.9	2.3	12.5	122	1.0754
-0.2	6.7	10.8	4.0	23.0	123	1.0576
-1.6	11.1	16.7	6.7	35.9	125	1.0237
2.1	-1.0	0.8	-0.6	1.7	120	1.1053
0.7	3.5	6.3	2.0	13.2	120	1.1048
0.1	5.2	9.6	2.8	20.0	120	1.1043
-0.7	7.4	12.9	3.3	27.0	121	1.0861
3.9	-7.9	-6.9	-2.5	-14.5	121	1.0856
4.1	-8.0	-8.8	-2.8	-18.4	120	1.1036
4.6	-11.0	-11.3	-2.7	-23.7	121	1.0850
2.0	1.6	1.8	-0.3	3.9	123	1.0302
-0.2	9.8	11.7	4.5	25.3	125	0.9972
-1.0	14.0	17.5	6.7	37.6	125	0.9969
-1.3	16.8	20.1	6.1	42.6	124	1.0127
3.3	-1.3	-2.1	-2.3	-4.5	122	1.0459
3.9	-4.2	-5.5	-3.2	-11.9	124	1.0121
4.6	-7.0	-9.3	-4.3	-20.2	125	0.9956
2.2	2.4	2.3	-0.2	5.0	125	1.0302
-0.2	10.0	12.4	3.3	26.0	121	1.0991
-1.0	14.0	18.2	5.6	38.7	124	1.0463
-1.1	16.8	20.2	6.5	42.1	122	1.0805
3.8	-1.2	-2.8	-1.3	-5.8	119	1.1354
4.0	-3.4	-5.1	-1.9	-10.7	120	1.1162
4.5	-4.9	-7.6	-2.0	-16.0	121	1.0977
3.0	2.4	1.6	1.4	3.4	121	1.0835
1.2	7.5	8.3	1.8	17.3	120	1.1011
0.3	11.5	13.7	3.6	28.4	120	1.1006
-0.1	14.8	18.1	5.0	37.6	121	1.0820
4.1	-1.9	-3.0	-1.6	-6.3	120	1.0998
4.5	-3.3	-5.6	-1.8	-11.7	120	1.0994
4.8	-4.4	-7.0	-3.1	-14.6	120	1.0991
3.1	2.7	2.0	0.1	4.2	121	1.0675
1.2	8.5	10.4	3.7	22.4	124	1.0162
0.3	12.7	15.1	5.0	32.3	124	1.0158
-0.1	15.6	18.1	5.5	38.8	125	0.9994
3.9	-0.3	-0.8	-0.8	-1.7	121	1.0662
4.3	-2.1	-4.2	-2.2	-8.9	121	1.0659
4.7	-4.2	-6.8	-3.9	-14.4	122	1.0483
2.4	2.7	1.9	-1.0	3.9	119	1.0981
0.7	9.2	10.5	2.6	21.9	120	1.0795
0.1	12.8	15.5	3.6	31.8	119	1.0974
-0.3	15.7	18.6	5.4	38.3	120	1.0788
3.3	-0.6	-1.7	-1.3	-3.6	120	1.0785
4.2	-2.2	-4.8	-2.2	-10.0	120	1.0782
4.7	-4.4	-7.8	-3.1	-16.2	119	1.0960
1.7	-1.4	0.4	-0.3	0.9	121	1.0898
